search_term,month,search_index
learn climbing,2019-08,18
learn climbing,2019-09,26
learn climbing,2019-10,24
learn climbing,2019-11,22
learn climbing,2019-12,24
learn climbing,2020-01,22
learn climbing,2020-02,25
learn climbing,2020-03,17
learn climbing,2020-04,21
learn climbing,2020-05,20
learn climbing,2020-06,17
learn climbing,2020-07,21
learn climbing,2020-08,21
learn climbing,2020-09,23
learn climbing,2020-10,26
learn climbing,2020-11,18
learn climbing,2020-12,19
learn climbing,2021-01,22
learn climbing,2021-02,16
learn climbing,2021-03,20
learn climbing,2021-04,18
learn climbing,2021-05,24
learn climbing,2021-06,22
learn climbing,2021-07,17
learn climbing,2021-08,27
learn climbing,2021-09,22
learn climbing,2021-10,32
learn climbing,2021-11,20
learn climbing,2021-12,30
learn climbing,2022-01,36
learn climbing,2022-02,31
learn climbing,2022-03,37
learn climbing,2022-04,29
learn climbing,2022-05,32
learn climbing,2022-06,36
learn climbing,2022-07,27
learn climbing,2022-08,28
learn climbing,2022-09,27
learn climbing,2022-10,29
learn climbing,2022-11,38
learn climbing,2022-12,25
learn climbing,2023-01,33
learn climbing,2023-02,31
learn climbing,2023-03,32
learn climbing,2023-04,29
learn climbing,2023-05,32
learn climbing,2023-06,28
learn climbing,2023-07,24
learn climbing,2023-08,26
learn climbing,2023-09,28
learn climbing,2023-10,32
learn climbing,2023-11,33
learn climbing,2023-12,28
learn climbing,2024-01,33
learn climbing,2024-02,34
learn climbing,2024-03,34
learn climbing,2024-04,34
learn climbing,2024-05,27
learn climbing,2024-06,32
learn climbing,2024-07,21
learn climbing,2024-08,100
learn climbing,2024-09,31
learn climbing,2024-10,39
learn climbing,2024-11,32
learn climbing,2024-12,28
climbing school,2015-01,12
climbing school,2015-02,11
climbing school,2015-03,12
climbing school,2015-04,12
climbing school,2015-05,11
climbing school,2015-06,11
climbing school,2015-07,10
climbing school,2015-08,10
climbing school,2015-09,12
climbing school,2015-10,10
climbing school,2015-11,9
climbing school,2015-12,9
climbing school,2016-01,12
climbing school,2016-02,12
climbing school,2016-03,10
climbing school,2016-04,11
climbing school,2016-05,14
climbing school,2016-06,12
climbing school,2016-07,10
climbing school,2016-08,11
climbing school,2016-09,10
climbing school,2016-10,11
climbing school,2016-11,9
climbing school,2016-12,9
climbing school,2017-01,11
climbing school,2017-02,11
climbing school,2017-03,11
climbing school,2017-04,11
climbing school,2017-05,11
climbing school,2017-06,10
climbing school,2017-07,10
climbing school,2017-08,10
climbing school,2017-09,10
climbing school,2017-10,10
climbing school,2017-11,9
climbing school,2017-12,9
climbing school,2018-01,11
climbing school,2018-02,12
climbing school,2018-03,11
climbing school,2018-04,11
climbing school,2018-05,10
climbing school,2018-06,10
climbing school,2018-07,10
climbing school,2018-08,10
climbing school,2018-09,11
climbing school,2018-10,10
climbing school,2018-11,9
climbing school,2018-12,8
climbing school,2019-01,11
climbing school,2019-02,11
climbing school,2019-03,11
climbing school,2019-04,11
climbing school,2019-05,11
climbing school,2019-06,11
climbing school,2019-07,10
climbing school,2019-08,11
climbing school,2019-09,11
climbing school,2019-10,10
climbing school,2019-11,9
climbing school,2019-12,9
climbing school,2020-01,10
