sport,article,date,pageviews
Spearfishing,Spearfishing,2017-05-01,7258
Spearfishing,Spearfishing,2017-06-01,7472
Spearfishing,Spearfishing,2017-07-01,6729
Spearfishing,Spearfishing,2017-08-01,7274
Spearfishing,Spearfishing,2017-09-01,5931
Spearfishing,Spearfishing,2017-10-01,6479
Spearfishing,Spearfishing,2017-11-01,5897
Spearfishing,Spearfishing,2017-12-01,6517
Spearfishing,Spearfishing,2018-01-01,6762
Spearfishing,Spearfishing,2018-02-01,5434
Spearfishing,Spearfishing,2018-03-01,6101
Spearfishing,Spearfishing,2018-04-01,5864
Spearfishing,Spearfishing,2018-05-01,6301
Spearfishing,Spearfishing,2018-06-01,6354
Spearfishing,Spearfishing,2018-07-01,7935
